keyword,title,description,originallink,link,pubDate
﻿에스엘에스바이오,"에스엘에스바이오, 코로나-19 항체 진단키트 식약처 수출허가",에스엘에스바이오는 '스마트테스트 코로나-19 항체 진단 키트'가 식품의약품안전처로부터 수출허가를 획득했다고 22일 밝혔다. 이 진단 키트는 면역분석법을 이용해 인체의 혈액 내에 존재하는 코로나-19 특이... ,http://www.fnnews.com/news/202005221038398531,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=103&oid=014&aid=0004429392,"Fri, 22 May 2020 10:40:00 +0900"
하이트진로음료,하이트진로음료 '진로 토닉워터' … “소토닉 즐기고 혼술상 받자”,하이트진로음료가 소주에 섞어 맛과 알코올 농도를 기호에 맞게 조절하여 즐길 수 있는 ‘진로 토닉워터’를 구매한 소비자에게 ‘소토닉 혼술상’을 증정한다. 하이트진로음료(대표이사 조운호)는 홈플러스 매장에서... ,http://moneys.mt.co.kr/news/mwView.php?no=2020111510598055676,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=417&aid=0000621892,"Sat, 21 Nov 2020 14:45:00 +0900"
샘표식품주식회사,[오늘 기업 오늘 사람] TSMC·샘표식품·유진기업·마오타이,"1% 상승 - 외식 줄고 가정식 수요 늘어…샘표 호실적 견인 - 샘표식품, 2016년 샘표주식회사로부터 분할 - 샘표식품, 발효기술 이용한 제품 판매 주력 - 미중 무역분쟁 우려에 '샘표' 수혜주로 급부상 - 미중 무역분쟁... ",https://cnbc.sbs.co.kr/article_hub/10000983142?division=NAVER,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=374&aid=0000211666,"Mon, 18 May 2020 09:07:00 +0900"
씨제이제일제당,CJ제일제당 2분기 ‘어닝 서프라이즈’…영업이익 120% 증가,"11일 씨제이제일제당은 2분기 연결기준 매출이 전년 동기 대비 7.4% 증가한 5조9209억원, 영업이익은 119.5% 증가한 3849억원으로 집계됐다고 공시했다. 증권가가 예상한 영업이익 2610억원을 뛰어넘는 수치다.... ",http://www.hani.co.kr/arti/economy/marketing/957385.html,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=028&aid=0002508384,"Tue, 11 Aug 2020 17:12:00 +0900"
산성정수,생수업체 수출물량 1.4% 불과,"다음으로 산성정수 65t(1천4백만원), 산수음료 3t(1백만원) 등 3개사에 그쳤다. 수출의 경우... 1,194 │ │산성정수 │ 6,754 790│ 65 14│ │ 6,689 776 │ │건영식품 │ 63 37│ - -│ - - │ 63 37 │ │서림... ",,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=001&aid=0003717545,"Tue, 05 Oct 1993 10:55:00 +0900"
삼양사,"삼양사 큐원 상쾌환, 연말 한정판 패키지 출시","삼양사는 숙취해소 제품 큐원 상쾌환의 연말 한정 패키지를 출시한다고 20일 밝혔다. 이번 한정판 패키지는... 상쾌환은 삼양사가 2013년 출시한 숙취해소 제품이다. 효모추출물, 식물혼합농축액(헛개나무열매, 창출... ",http://www.fnnews.com/news/202011201016173372,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=014&aid=0004532408,"Fri, 20 Nov 2020 10:18:00 +0900"
샤니,"샤니 소액주주들, SPC 총수 일가에 10억 소송",에스피씨(SPC)그룹 계열사인 샤니의 소액주주들이 허영인 회장 등 총수 일가를 상대로 ‘샤니에 10억원을 배상하라’는 주주대표소송을 냈다. 총수 일가가 승계자금 마련을 위해 부당내부거래를 했다는 공정거래위원회... ,http://www.hani.co.kr/arti/society/society_general/969084.html,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=028&aid=0002519415,"Mon, 09 Nov 2020 05:02:00 +0900"
해태제과식품,"크라운·해태, 제과 빅3 중 나홀로 '부진'","먼저 해태제과식품은 3분기 연결기준 영업이익이 80억원으로 전년 같은 기간 대비 6.44% 줄었다. 같은 기간 매출액은 전년 대비 4.39% 증가한 1328억원을 기록했지만, 수익성은 뒷걸음질 쳤다. 크라운제과도 3분기 별도기준... ",http://isplus.live.joins.com/news/article/article.asp?total_id=23925518,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=241&aid=0003070582,"Fri, 20 Nov 2020 07:02:00 +0900"
오비맥주,"오비맥주, 맥주 부산물 활용해 에너지바·시리얼 만든다",오비맥주는 20일 맥주 생산 과정에서 자연스럽게 발생하는 부산물을 이용해 에너지바·그래놀라·시리얼 등 간편 대체식을 만들 계획이라고 밝혔다. 오비맥주는 이를 위해 서울 삼성동 본사에서 식품 스타트업... ,http://yna.kr/AKR20201120058500030?did=1195m,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=001&aid=0012028206,"Fri, 20 Nov 2020 10:35:00 +0900"
롯데칠성음료,"[Daily New식품] SPC그룹, 롯데GRS, 롯데칠성음료 外","◇ 롯데칠성음료, 온장음료 매출 급성장 롯데칠성음료의 제품별 판매 실적에 따르면, 온장음료 판매량은 본격적인 추위가 시작된 11월 1일부터 15일까지 보름간 전월 동기간 대비 세 자릿수 성장세를 기록했다.... ",http://biz.newdaily.co.kr/site/data/html/2020/11/20/2020112000036.html,http://biz.newdaily.co.kr/site/data/html/2020/11/20/2020112000036.html,"Fri, 20 Nov 2020 11:12:00 +0900"
